Age	Employed	HasESI	NetWorth	TotalIncome	ObWeight
25	1	0	52670	14000	32637.26054
25	1	0	-15185.92893	14000	18511.27908
25	1	0	0	14000	35025.19032
25	1	0	36760	14000	32657.53235
25	1	0	24660	14000	32727.83882
25	1	0	17700	14000	17991.3899
25	1	0	294172.4363	15000	38909.21185
25	1	1	-10700	15000	19949.33244
25	1	0	294172.4363	15000	39657.48704
25	1	1	-10700	15000	19936.08127
25	1	0	4042.06401	15000	35775.20854
25	1	1	700	15000	7468.283832
25	1	1	-10700	15000	19910.33741
25	1	1	700	15000	7367.369097
25	1	0	0	15000	32137.2562
25	1	0	6380	15000	18261.21673
25	1	0	0	15000	32059.30871
25	1	0	100	15000	32107.0985
25	1	1	-10700	15000	19854.78201
25	1	0	294172.4363	15000	38451.98933
25	1	1	1982.637157	15000	16147.15852
25	1	1	700	15000	7252.252527
25	1	1	2915.012469	15000	16141.96404
25	1	1	2582.786783	15000	16173.75349
25	1	0	0	15000	32120.88915
25	1	0	56.13977792	15000	51224.17504
25	1	1	-10700	15000	19852.70309
25	1	0	294172.4363	15000	39292.14385
25	1	1	700	15000	7274.642933
25	1	0	294172.4363	15000	38786.1139
25	1	1	700	15000	7535.60589
25	1	1	3600.897756	15000	16105.20534
25	1	1	3032.899002	15000	16028.50405
25	1	0	0	15000	32077.729
25	1	0	3980	16000	17448.12733
25	1	0	16857.77431	16000	19090.20686
25	1	0	3980	16000	17408.30428
25	1	0	4080	16000	17456.87163
25	1	0	4042.06401	16000	36118.29069
25	1	0	3980	16000	17428.57631
25	1	0	4080	16000	17476.23837
25	1	0	7876.96384	17000	17587.59923
25	1	0	1100.339647	17000	34248.95224
25	0	0	6390	17000	30314.19934
25	1	1	-19161.9202	17000	13775.90937
25	1	1	-19687.05112	17000	13862.21119
25	1	0	-13117.55611	17000	15107.72829
25	0	0	6290	17000	30424.35323
25	1	0	-13122.91459	17000	15089.05602
25	1	1	-17972.33791	17000	13884.85019
25	1	0	56.13977792	17000	52420.1249
25	1	0	56.13977792	17000	51580.17434
25	1	0	-13010.38653	17000	15069.57866
25	1	0	-13122.91459	17000	15098.42272
25	1	0	-13010.38653	17000	15052.61501
25	1	1	-19579.88155	18000	13856.30778
25	1	0	56.13977792	18000	51482.04971
25	1	0	74500	18000	41491.31404
25	1	0	74500	18000	41310.92136
25	1	1	-16246.90773	18000	13789.06926
25	0	0	6390	18000	30479.92601
25	1	0	75500	18000	41688.18102
25	1	0	75500	18000	41778.70654
25	0	0	6390	18000	30516.48963
25	1	0	56.13977792	18000	51337.67574
25	1	0	16700	18000	17967.21526
25	1	0	75500	18000	41374.42336
25	1	0	16700	19000	17983.66555
25	1	0	10860	19000	18260.08632
25	0	0	6290	19000	30367.14022
25	1	0	10650	20000	18301.32515
25	0	0	19504.86284	20000	14657.92587
25	1	0	5466.720075	20000	16057.50668
25	1	0	5466.720075	20000	16102.282
25	1	0	16857.77431	20000	19088.8213
25	1	0	-2300	20000	19673.84343
25	0	0	19504.86284	20000	14676.87117
25	1	0	1910	20000	17176.6657
25	1	0	1910	20000	17165.07006
25	1	0	5466.720075	20000	16156.49777
25	1	0	5466.720075	20000	16156.71071
25	1	1	5578.176434	20000	5051.411992
25	1	1	5412.063591	20000	5073.724315
25	1	0	1910	20000	17145.24808
25	0	0	19504.86284	20000	14641.42562
25	1	0	4458.254364	20000	15644.10701
25	1	1	5460.2899	20000	5061.631137
25	1	1	5497.799252	20000	5067.258386
25	1	1	21583.95262	20000	5081.373655
25	0	0	19504.86284	20000	14685.98201
25	1	0	-2400	20000	19650.95982
25	1	0	5466.720075	20000	16184.83144
25	0	0	19504.86284	20000	14695.03337
25	1	0	-2300	21000	19727.64564
25	1	0	1820	21000	17157.61094
25	1	0	2863.128674	21000	6777.026089
25	1	0	1710	21000	17171.76103
25	1	0	-2300	21000	19705.78395
25	1	0	-2300	21000	19695.91314
25	1	0	12667.44389	22000	19629.80557
25	1	0	12217.33167	22000	19488.21007
25	1	1	11777.93641	22000	14841.87161
25	1	0	15978.98379	22000	19061.92935
25	1	0	-19772.78678	22000	19022.14958
25	1	0	2290.502939	22000	6830.143071
